
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,				*,		0,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,				*,		0,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		-1,		1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		-1,		1	// Sellvalue -1 means it can not be selled
		Apple,					*,		-1,		1
		Pear,					*,		-1,		1
		Orange,					*,		-1,		1
		Banana,					*,		-1,		1
		Tomato,					*,		5,		1
		Potato,					*,		-1,		1
		GreenBellPepper,			*,		-1,		1
		Zucchini,				*,		-1,		3
		Pumpkin,				*,		-1,		5
		AgaricusMushroom,			*,		-1,		5
		AmanitaMushroom,			*,		-1,		5
		LactariusMushroom,			*,		-1,		5
		MacrolepiotaMushroom,			*,		-1,		5
		PsilocybeMushroom,			*,		-1,		5
		AuriculariaMushroom,			*,		-1,		5
		BoletusMushroom,			*,		-1,		5
		PleurotusMushroom,			*,		-1,		5
	
	<Category> Packaged Food
		PowderedMilk,				*,		-1,		-1
		BoxCerealCrunchin,			*,		-1,		1
		Rice,					*,		-1,		2
		Marmalade,				*,		-1,		2
		PeachesCan,				*,		-1,		2
		SardinesCan,				*,		-1,		2
		TunaCan,				*,		-1,		2
		SpaghettiCan,				*,		-1,		2
		BakedBeansCan,				*,		-1,		2
		TacticalBaconCan,			*,		-1,		3		
		
	<Category> Meat
		ChickenBreastMeat,			S,		-1,		3
		GoatSteakMeat,				S,		-1,		3
		SheepSteakMeat,				S,		-1,		3
		PigSteakMeat,				S,		-1,		3
		BoarSteakMeat,				S,		-1,		5
		WolfSteakMeat,				S,		-1,		5
		DeerSteakMeat,				S,		7,		5
		CowSteakMeat,				S,		-1,		3	
		Sardines,				S,		-1,		4
		Carp,					S,		-1,		5
		Mackerel,				S,		-1,		5
		
	<Category> Animal Parts
		Bone,					*,		-1,		3
		Lard,					*,		-1,		3
		Guts,					*,		-1,		3
		SmallGuts,				*,		-1,		3
		
	<Category> Drinks
		SodaCan_Cola, 				*,		-1, 		2
		SodaCan_Kvass, 				*,		-1, 		2
		SodaCan_Pipsi, 				*,		-1, 		2
		SodaCan_Spite, 				*,		-1, 		2
		WaterBottle,				*,		-1,		5
		Canteen,				*,		-1,		4
		Vodka,					*,		-1,		20
		
	<Category> Medical Supplies
